CRED_APR,RISC_ATUAL,PAGO_DIA,PAGO_ATR,VOL_OPER,VOL_OPER_MED,QTD_TITU_OPER,VOL_TOT_OPER,RECOMP,TICK_MED_CED,L1,L2,L3,L4,L5,VALO_TITU_ORIG,VALO_ABER,VALO_LIQU_CEDE,VALO_LIQU,TICK_MED_SACA,VOL_NEG,REL_TITU_TICK,REL_TITU_LIM,REJEITADO,label
50000.15,21168.87,70.0017,11.3014,146966.7786,24494.4631,64,150876.96,14.0745,2357.4525,94.1204,5.8795,0,0,0,13106.50,0.00,44149.16,46878.25,5078.30,25391.50,555.9603,26.2129,1,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,28.2054,71.7945,0,9.5237,4.2017,360.42,722.78,30422.62,36743.14,354.5433,2127.26,62.2471,0.012,1,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,28.2054,71.7945,0,9.5237,4.2017,360.43,722.78,30422.62,36743.14,354.5433,2127.26,62.2488,0.012,1,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,92.3324,7.6675,0,0.6139,0.6139,385.89,794.03,43731.84,59729.96,385.59,14266.83,66.646,0.0128,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,92.3324,7.6675,0,0.6139,0.6139,385.90,794.03,43731.84,59729.96,385.59,14266.83,66.6477,0.0128,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,54.759,45.2409,0,23.2459,9.4123,1021.27,0.00,60495.06,105865.51,900.6373,23416.57,176.3807,0.034,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,54.759,45.2409,0,23.2459,9.4123,1021.27,0.00,60495.06,105865.51,900.6373,23416.57,176.3807,0.034,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,54.759,45.2409,0,23.2459,9.4123,1021.28,0.00,60495.06,105865.51,900.6373,23416.57,176.3824,0.034,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,100,0,0,0,0,434.59,0.00,0.00,409.36,204.68,409.36,75.0568,0.0144,1,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,84.8817,15.1182,0,4.5163,0,181.10,0.00,4354.26,7789.74,215.0975,860.39,31.2772,0.006,1,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,92.218,7.7819,0,0,0,1350.13,0.00,30011.22,37220.78,1229.88,4919.52,233.1772,0.045,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,80.9363,19.0636,0,0,0,281.10,3497.04,37684.34,58865.50,373.1597,15672.71,48.548,0.0093,1,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,80.9363,19.0636,0,0,0,281.11,3497.04,37684.34,58865.50,373.1597,15672.71,48.5497,0.0093,1,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,94.8342,5.1657,0,1.04,0.4038,151.83,5770.16,246400.83,488230.30,1030.8252,72157.77,26.2221,0.005,0,1
